titreCommercial;realisateur;visa;mention;paysOrigine;dateSortie
"LA SAISON DES FEMMES";"Leena YADAV";"144233";"Tous publics";"INDE";"20/04/2016"
"LA SOCIOLOGUE ET L OURSON";"Etienne CHAILLOU, Mathias THERY";"140078";"Tous publics";"FRANCE";"06/04/2016"
"LA VISITE OU MEMOIRE ET CONFESSIONS";"Manoel DE OLIVEIRA";"144159";"Tous publics";"PORTUGAL";"06/04/2016"
"LAURETTE 1942 UNE VOLONTAIRE AU CAMP DU RECEBEDOU";"Francis FOURCOU";"139679";"Tous publics";"FRANCE";"06/04/2016"
"L'AVENIR";"Mia HANSEN-LOVE";"139988";"Tous publics";"ALLEMAGNE, FRANCE";"06/04/2016"
"LE BOIS DONT LES REVES SONT FAITS";"Claire SIMON";"139695";"Tous publics";"";"13/04/2016"
"LE CHASSEUR ET LA REINE DES GLACES";"Cédric Nicolas TROYAN";"144303";"Tous publics avec avertissement";"ETATS-UNIS";"20/04/2016"
"LE FANTOME DE CANTERVILLE";"Yann SAMUELL";"137955";"Tous publics";"BELGIQUE, FRANCE";"06/04/2016"
"LE FILS DE JOSEPH";"Eugene GREEN";"142588";"Tous publics";"BELGIQUE, FRANCE";"20/04/2016"
"LE LIVRE DE LA JUNGLE";"Jon FAVREAU";"144209";"Tous publics";"ETATS-UNIS";"13/04/2016"
"LE POTAGER DE MON GRAND-PERE";"Martin ESPOSITO";"143593";"Tous publics";"FRANCE";"20/04/2016"
"LES ARDENNES";"Robin PRONT";"144214";"Interdiction aux mineurs -12ans avec avertissement";"BELGIQUE";"13/04/2016"
"LES HABITANTS";"Raymond DEPARDON";"141760";"Tous publics";"FRANCE";"27/04/2016"
"LES MALHEURS DE SOPHIE";"Christophe HONORE";"140111";"Tous publics";"FRANCE";"20/04/2016"
"LES RAISINS DE L'ESPOIR";"Bay OKAN";"128762";"Tous publics";"FRANCE";"27/04/2016"
"LES VISITEURS : LA REVOLUTION";"Jean-Marie POIRÉ";"141919";"Tous publics";"BELGIQUE, FRANCE";"06/04/2016"
"MAGGIE A UN PLAN";"Rebecca MILLER";"144299";"Tous publics";"ETATS-UNIS";"27/04/2016"
"MANDARINES";"Zaza URUSHADZE";"143121";"Tous publics";"ESTONIE";"06/04/2016"
"MARIE ET LES NAUFRAGES";"Sébastien BETBEDER";"141039";"Tous publics";"FRANCE";"13/04/2016"
"MEKONG STORIES";"Di PHAN DANG";"139139";"Tous publics";"FRANCE, VIETNAM";"20/04/2016"
"MOBILE ETOILE";"Raphaël NADJARI";"140756";"Tous publics";"CANADA, FRANCE";"27/04/2016"
"PAR AMOUR";"Giuseppe GAUDINO";"141134";"Tous publics avec avertissement";"FRANCE, ITALIE";"13/04/2016"
"PARFUM DE PRINTEMPS";"Ferid BOUGHEDIR";"138663";"Tous publics";"FRANCE, TUNISIE";"20/04/2016"
"PAULINA";"Santiago MITRE";"137946";"Interdiction aux mineurs -12 ans";"ARGENTINE, FRANCE";"13/04/2016"
"QUELS ENFANTS LAISSERONS-NOUS A LA PLANETE?";"Anne BARTH";"132893";"Tous publics";"FRANCE";"07/04/2016"
"RATCHET ET CLANK";"Jericca CLELAND, Kevin MUNROE";"144251";"Tous publics";"ETATS-UNIS";"13/04/2016"
"ROBINSON CRUSOE";"Ben STASSEN, Vincent KESTELOOT";"144250";"Tous publics";"BELGIQUE";"20/04/2016"
"SAUVAGES";"Tom GEENS";"139573";"Tous publics";"BELGIQUE, FRANCE, GRANDE-BRETAGNE";"06/04/2016"
"SKY";"Fabienne BERTHAUD";"131788";"Tous publics";"ALLEMAGNE, FRANCE";"06/04/2016"
"THEO ET HUGO DANS LE MEME BATEAU";"Olivier DUCASTEL, Jacques MARTINEAU";"143273";"Interdiction aux mineurs -16 ans";"FRANCE";"27/04/2016"
"THIS IS MY LAND";"Tamara ERDE";"144093";"Tous publics";"FRANCE";"20/04/2016"
"TOUT POUR ETRE HEUREUX";"Cyril GELBLAT";"133979";"Tous publics";"FRANCE";"13/04/2016"
"TOUT S'ACCELERE";"Gilles VERNET";"142719";"Tous publics";"FRANCE";"20/04/2016"
"TRUTH: LE PRIX DE LA VERITE";"James VANDERBILT";"144168";"Tous publics";"ETATS-UNIS";"06/04/2016"
"UN HOMME CHARMANT";"Ariel ROTTER";"144324";"Tous publics";"ARGENTINE";"20/04/2016"
"WALLABOUT";"Eric MC GINTY";"144252";"Tous publics";"ETATS-UNIS";"13/04/2016"
"WEST COAST";"Benjamin WEILL";"140685";"Tous publics";"FRANCE";"27/04/2016"
"ANDRE ET LES MARTIENS";"Philippe LESPINASSE";"139177";"Tous publics";"FRANCE";"18/05/2016"
"BADEN BADEN";"Rachel LANG";"140145";"Tous publics";"BELGIQUE, FRANCE";"04/05/2016"
"BOULEVARD";"Dito MONTIEL";"143965";"Tous publics";"ETATS-UNIS";"18/05/2016"
"BRAQUEURS";"Julien LECLERCQ";"141118";"Interdiction aux mineurs -12 ans";"FRANCE";"04/05/2016"
"CAFE SOCIETY";"Woody ALLEN";"144502";"Tous publics";"ETATS-UNIS";"11/05/2016"
"COURT (EN INSTANCE)";"Chaitanya TAMHANE";"144298";"Tous publics";"INDE";"11/05/2016"
"CRIMINAL";"Ariel VROMEN";"144415";"Interdiction aux mineurs -12 ans";"GRANDE-BRETAGNE";"04/05/2016"
"DE DOUCES PAROLES";"Shemi ZARHIN";"144272";"Tous publics";"ISRAËL";"25/05/2016"
"DIEU, MA MERE ET MOI";"Federico VEIROJ";"139797";"Tous publics";"ESPAGNE, FRANCE, URUGUAY";"04/05/2016"
"DOUGH";"John GOLDSCHMIDT";"144524";"Tous publics";"GRANDE-BRETAGNE";"04/05/2016"
"EDDIE THE EAGLE";"Dexter FLETCHER";"144229";"Tous publics";"GRANDE-BRETAGNE";"04/05/2016"
"ELLE";"Paul VERHOEVEN";"140913";"Interdiction aux mineurs -12 ans";"ALLEMAGNE, FRANCE";"25/05/2016"
"HANA ET ALICE MENENT L ENQUETE";"Shunji IWAI";"144445";"Tous publics";"JAPON";"11/05/2016"
"HOSTILES";"Robin PLESSY";"144451";"Tous publics avec avertissement";"FRANCE";"26/05/2016"
"JOHN FROM";"Joao NICOLAU TEIXERA RICARDO";"141072";"Tous publics";"FRANCE, PORTUGAL";"25/05/2016"
"JOYEUSE FETE DES MERES";"Garry MARSHALL";"144411";"Tous publics";"ETATS-UNIS";"25/05/2016"
"JULIETA";"Pedro ALMODOVAR";"143541";"Tous publics";"ESPAGNE";"18/05/2016"
"KRAMPUS";"Michael DOUGHERTY";"144201";"Tous publics avec avertissement";"ETATS-UNIS";"04/05/2016"
"LA NAISSANCE DE LA PREHISTOIRE";"Sophie CATTOIRE";"144494";"Tous publics";"FRANCE";"18/05/2016"
"LA RESURRECTION DU CHRIST";"Kevin REYNOLDS";"144137";"Tous publics";"ETATS-UNIS";"04/05/2016"
"LA VISITA";"Mauricio LOPEZ FERNANDEZ";"144075";"Tous publics";"CHILI";"11/05/2016"
"L'ANGE BLESSE";"Emir BAIGAZIN";"143157";"Tous publics";"FRANCE, KAZAKHSTAN";"11/05/2016"
"LE VOYAGE DE FANNY";"Lola DOILLON";"141560";"Tous publics";"BELGIQUE, FRANCE";"18/05/2016"
"LES AMANTS DE CARACAS";"Lorenzo VIGAS";"144275";"Tous publics avec avertissement";"VENEZUELA";"04/05/2016"
"LES VILAINS";"Thibault TURCAS, Nicolas VERT";"144276";"Tous publics";"FRANCE";"18/05/2016"
"L'HOMME FUMEE, UNE AVENTURE DEMOCRATIQUE";"Vincent GERARD, Cédric LATY";"144462";"Tous publics";"FRANCE";"04/05/2016"
"L'ORIGINE DE LA VIOLENCE";"Elie CHOURAQUI";"132229";"Tous publics";"ALLEMAGNE, FRANCE";"25/05/2016"
"MA LOUTE";"Bruno DUMONT";"142204";"Tous publics avec avertissement";"ALLEMAGNE, FRANCE";"13/05/2016"
"MADEMOISELLE DE LA CHARCE";"Lionel BAILLEMONT";"144664";"Tous publics";"FRANCE";"25/05/2016"
"MAUVAISE GRAINE";"Claudio CALIGARI";"144478";"Tous publics avec avertissement";"ITALIE";"11/05/2016"
"MEN  CHICKEN";"Anders Thomas JENSEN";"144360";"Tous publics avec avertissement";"";"25/05/2016"
"MONEY MONSTER";"Jodie FOSTER";"144018";"Tous publics";"ETATS-UNIS";"12/05/2016"
"MONTANHA";"Joao SALAVIZA";"137436";"Tous publics";"FRANCE, PORTUGAL";"04/05/2016"
"MR HOLMES";"Bill CONDON";"144367";"Tous publics";"GRANDE-BRETAGNE";"04/05/2016"
"RED AMNESIA";"Wang XIAOSHUAI";"144310";"Tous publics";"CHINE";"04/05/2016"
"SINGING WOMEN";"Reha ERDEM";"133253";"Tous publics";"ALLEMAGNE, FRANCE, TURQUIE";"18/05/2016"
"SISTERS";"Jason MOORE";"144439";"Tous publics";"ETATS-UNIS";"11/05/2016"
"THE ANGRY BIRDS - LE FILM";"Clay KAYTIS, Fergal REILLY";"143701";"Tous publics";"ETATS-UNIS";"11/05/2016"
"THE NICE GUYS";"Shane BLACK";"144366";"Tous publics avec avertissement";"ETATS-UNIS";"18/05/2016"
"TINI - LA NOUVELLE VIE DE VIOLETTA";"Juan Pablo BUSCARINI";"144363";"Tous publics";"ESPAGNE";"04/05/2016"
"TOUT, TOUT DE SUITE";"Richard BERRY";"133023";"Interdiction aux mineurs -12ans avec avertissement";"BELGIQUE, FRANCE, LUXEMBOURG";"11/05/2016"
"ULTIMO TANGO";"German KRAL";"144362";"Tous publics";"ALLEMAGNE";"25/05/2016"
"UN HOMME A LA HAUTEUR";"Laurent TIRARD";"141106";"Tous publics";"FRANCE";"04/05/2016"
"UN HOMME COREEN";"Jeon SOO-IL";"140563";"Tous publics";"FRANCE";"11/05/2016"
"VENDEUR";"Sylvain DESCLOUS";"138469";"Tous publics";"FRANCE";"04/05/2016"
"WARCRAFT";"Duncan JONES";"144557";"Tous publics avec avertissement";"ETATS-UNIS";"25/05/2016"
"X MEN APOCALYPSE";"Bryan SINGER";"144287";"Tous publics";"ETATS-UNIS";"18/05/2016"
"600 EUROS";"Adnane TRAGHA";"144355";"Tous publics";"FRANCE";"08/06/2016"
"A WAR";"Tobias LINDHOLM";"143513";"Tous publics";"DANEMARK";"01/06/2016"
"ALICE DE L'AUTRE COTE DU MIROIR";"James BOBIN";"144301";"Tous publics";"ETATS-UNIS";"01/06/2016"
"AMERICAN HERO";"Nick LOVE";"144350";"Tous publics";"GRANDE-BRETAGNE";"08/06/2016"
"APPRENTICE";"Junfeng BOO";"144561";"Tous publics avec avertissement";"ALLEMAGNE, FRANCE, SINGAPOUR";"01/06/2016"
"AVANT TOI";"Thea SHARROCK";"144660";"Tous publics";"GRANDE-BRETAGNE";"22/06/2016"
"BAD TRIP 3D";"Frederic GROUSSET";"142218";"Interdiction aux mineurs -12 ans";"FRANCE";"08/06/2016"
"BELLA E PERDUTA";"Marcello PIETRO";"144504";"Tous publics";"ITALIE";"01/06/2016"
"BIENVENUE A MARLY GOMONT";"Julien RAMBALDI";"134025";"Tous publics";"FRANCE";"08/06/2016"
"CAMPING 3";"Fabien ONTENIENTE";"121805";"Tous publics";"FRANCE";"29/06/2016"
"CASABLANCAS, L'HOMME QUI AIMAIT LES FEMMES";"Hubert WORONIECKI";"139820";"Tous publics";"FRANCE";"29/06/2016"
"CE QU IL RESTE DE LA FOLIE";"Joris LACHAISE";"140287";"Tous publics";"FRANCE";"22/06/2016"
"CELUI QU ON ATTENDAIT";"Serge AVEDIKIAN";"139267";"Tous publics";"ARMENIE, FRANCE";"08/06/2016"
"CONJURING 2 : LE CAS ENFIELD";"James WAN";"144534";"Interdiction aux mineurs -12 ans";"ETATS-UNIS";"29/06/2016"
"COSMODRAMA";"Philippe FERNANDEZ";"134062";"Tous publics";"FRANCE";"29/06/2016"
"DANS LES FORETS DE SIBERIE";"Safy NEBBOU";"141909";"Tous publics";"FRANCE";"15/06/2016"
"DEUX AU CARRE";"Philippe DAJOUX";"139523";"Tous publics";"BELGIQUE, FRANCE";"15/06/2016"
"DIAMANT NOIR";"Arthur HARARI";"133057";"Tous publics avec avertissement";"BELGIQUE, FRANCE";"08/06/2016"
"EVA NE DORT PAS";"Pablo AGUERO";"125462";"Tous publics";"ARGENTINE, BELGIQUE, ESPAGNE, FRANCE";"04/06/2016"
"FOLLES DE JOIE";"Paolo VIRZI";"143414";"Tous publics";"FRANCE, ITALIE";"08/06/2016"
"ILLEGITIME";"Adrian SITARU";"144392";"Tous publics";"FRANCE, POLOGNE, ROUMANIE";"08/06/2016"
"ILS SONT PARTOUT";"Yvan ATTAL";"141756";"Tous publics";"FRANCE";"01/06/2016"
"LA FORET DE QUINCONCES";"Gregoire LEPRINCE-RINGUET";"136557";"Tous publics";"FRANCE";"22/06/2016"
"LA LOI DE LA JUNGLE";"Antonin PERETJATKO";"140144";"Tous publics";"FRANCE";"15/06/2016"
"LA NOUVELLE VIE DE PAUL SNEIJDER";"Thomas VINCENT";"141791";"Tous publics";"CANADA, FRANCE";"08/06/2016"
"LA QUATRIEME VOIE";"Gurvinder SINGH";"144576";"Tous publics";"FRANCE, INDE";"08/06/2016"
"LA TORTUE ROUGE";"Michael DUDOK DE WIT";"139410";"Tous publics";"BELGIQUE, FRANCE";"29/06/2016"
"LAYLA IN THE SKY";"Micah MAGEE";"144662";"Tous publics";"ALLEMAGNE";"22/06/2016"
"LE MONDE DE DORY";"Andrew STANTON";"144555";"Tous publics";"ETATS-UNIS";"22/06/2016"
"LE PROFESSEUR DE VIOLON";"Sergio MACHADO";"144730";"Tous publics";"BRÉSIL";"22/06/2016"
"LE SECRET DES BANQUISES";"Marie MADINIER";"141565";"Tous publics";"BELGIQUE, FRANCE";"22/06/2016"
"L'EFFET AQUATIQUE";"Solveig ANSPACH";"138667";"Tous publics";"FRANCE, ISLANDE";"29/06/2016"
"LES SOUTERRAINS DU TEMPS";"Georges COMBE";"144653";"Tous publics";"FRANCE";"15/06/2016"
"L'IDEAL";"Frédéric BEIGBEDER";"138867";"Tous publics";"BELGIQUE, FRANCE";"15/06/2016"
"L'OUTSIDER";"Christophe BARRATIER";"140872";"Tous publics";"FRANCE";"22/06/2016"
"LOVE AND FRIENDSHIP";"Whit STILLMAN";"141679";"Tous publics";"FRANCE, IRLANDE, PAYS-BAS";"22/06/2016"
"MA MA";"Julio MEDEM LAFONT";"139806";"Tous publics";"ESPAGNE, FRANCE";"08/06/2016"
"MA MEILLEURE AMIE";"Catherine HARDWICKE";"144684";"Tous publics";"GRANDE-BRETAGNE";"15/06/2016"
"MADRES DE LOS DIOSES";"Pablo AGUERO";"144416";"Tous publics";"ARGENTINE, FRANCE";"08/06/2016"
"MR GAGA SUR LES PAS D OHAD NAHARIN";"Tomer HEYMANN";"144335";"Tous publics";"ISRAËL";"01/06/2016"
"NINJA TURTLES 2";"Dave GREEN";"144466";"Tous publics";"ETATS-UNIS";"29/06/2016"
"OURAGAN, L'ODYSSEE D'UN VENT";"Andrew BYATT, Cyril BARBANCON";"125948";"Tous publics";"BELGIQUE, FRANCE";"08/06/2016"
"PESHMERGA !";"Bernard-Henri LEVY";"143222";"Tous publics";"FRANCE";"08/06/2016"
"RETOUR CHEZ MA MERE";"Eric LAVAINE";"142707";"Tous publics";"FRANCE";"01/06/2016"
"ROSENN";"Yvan LE MOINE";"117963";"Tous publics";"BELGIQUE, FRANCE";"22/06/2016"
"SIN OTONO SIN PRIMAVERA";"Ivan MORA MANZANO";"144674";"Tous publics avec avertissement";"EQUATEUR";"01/06/2016"
"SUR LE QUAI";"Stefan MIHALACHI";"143427";"Tous publics";"FRANCE";"20/06/2016"
"THE DOOR";"Johannes ROBERTS";"144413";"Interdiction aux mineurs -12 ans";"ALLEMAGNE";"01/06/2016"
"THE NEON DEMON";"Nicolas WINDING REFN";"144380";"Interdiction aux mineurs -12 ans";"DANEMARK, FRANCE, SUÈDE";"08/06/2016"
"THE WITCH";"Robert EGGERS";"144607";"Interdiction aux mineurs -12 ans";"ETATS-UNIS";"15/06/2016"
"TOUS LES CHATS SONT GRIS";"Savina DELLICOUR";"144751";"Tous publics";"BELGIQUE";"15/06/2016"
"TOUT DE SUITE MAINTENANT";"Pascal BONITZER";"139895";"Tous publics";"FRANCE, LUXEMBOURG";"22/06/2016"
"TROIS JOURS ET UN ENFANT";"Uri ZOHAR";"33739";"Tous publics";"ISRAËL";"29/06/2016"
"UN HOMME D'ETAT";"Pierre COURREGE";"129900";"Tous publics";"FRANCE";"15/06/2016"
"UN TRAITRE IDEAL";"Susanna WHITE";"144677";"Tous publics";"GRANDE-BRETAGNE";"15/06/2016"
"VICKY";"Denis IMBERT";"139142";"Tous publics";"FRANCE";"08/06/2016"
"VIVRE SA MORT";"Manu BONMARIAGE";"144404";"Tous publics avec avertissement";"BELGIQUE";"08/06/2016"
"VOIX OFF";"Cristian JIMENEZ";"135401";"Tous publics";"CHILI, FRANCE";"29/06/2016"
"VOLEUR D'HISTOIRE";"Frederic ANDREI";"142408";"Tous publics";"FRANCE";"29/06/2016"
"ZOOM";"Pédro MORELLI";"144633";"Tous publics";"CANADA";"08/06/2016"
"A TOUS LES VENTS DU CIEL";"Christophe LIOUD";"132076";"Tous publics";"FRANCE";"27/07/2016"
"ABSENCE";"Chico TEIXEIRA";"144333";"Tous publics";"BRÉSIL";"20/07/2016"
"AMERICAN NIGHTMARE 3 : ELECTIONS";"James DEMONACO";"144861";"Interdiction aux mineurs -12ans avec avertissement";"ETATS-UNIS";"20/07/2016"
"BASTILLE DAY";"James WATKINS";"144669";"Tous publics";"GRANDE-BRETAGNE";"13/07/2016"
"BLACK STONE";"Gyeong-Tae ROH";"140767";"Interdiction aux mineurs -12 ans";"CORÉE DU SUD, FRANCE";"27/07/2016"
"CARMINA !";"Francisco Leon BARRIOS";"144658";"Tous publics";"ESPAGNE";"27/07/2016"
"COLONIA";"Florian GALLENBERGER";"141681";"Tous publics avec avertissement";"ALLEMAGNE, FRANCE, LUXEMBOURG";"20/07/2016"
"COMME DES BETES";"Chris RENAUD, Yarrow CHENEY";"144878";"Tous publics";"ETATS-UNIS";"27/07/2016"
"DEBARQUEMENT IMMEDIAT !";"Philippe DE CHAUVERON";"143075";"Tous publics";"FRANCE";"13/07/2016"
"DEESSES INDIENNES EN COLERE";"Pan NALIN";"144621";"Tous publics";"INDE";"27/07/2016"
"D'UNE FAMILLE A L'AUTRE";"Anna MUYLAERT";"144898";"Tous publics";"BRÉSIL";"20/07/2016"
"ELVIS  NIXON";"Liza JOHNSON";"144708";"Tous publics";"ETATS-UNIS";"20/07/2016"
"FLORENCE FOSTER JENKINS";"Stephen FREARS";"143575";"Tous publics";"GRANDE-BRETAGNE";"13/07/2016"
"GENIUS";"Michael GRANDAGE";"144877";"Tous publics";"GRANDE-BRETAGNE";"27/07/2016"
"GUIBORD S'EN VA-T-EN GUERRE";"Philippe FALARDEAU";"144868";"Tous publics";"CANADA";"27/07/2016"
"HIBOU";"Ramzy BEDIA";"140245";"Tous publics";"CANADA, FRANCE";"06/07/2016"
"INDEPENDENCE DAY : RESURGENCE ";"Roland EMMERICH";"144611";"Tous publics";"ETATS-UNIS";"20/07/2016"
"INSAISISSABLES 2";"Jon CHU";"144739";"Tous publics";"ETATS-UNIS";"27/07/2016"
"IRREPROCHABLE";"Sebastien MARNIER";"136967";"Tous publics avec avertissement";"FRANCE";"06/07/2016"
"JE ME TUE A LE DIRE";"Xavier SERON";"138167";"Tous publics";"BELGIQUE, FRANCE";"06/07/2016"
"JUILLET AOUT";"null DIASTÈME";"142842";"Tous publics";"FRANCE";"13/07/2016"
"L FOR LEISURE";"Lev KALMAN, Whitney HORNE";"144828";"Tous publics";"ETATS-UNIS";"06/07/2016"
"LA COULEUR DE LA VICTOIRE";"Stephen HOPKINS";"144910";"Tous publics";"CANADA";"27/07/2016"
"LA VIE EST BELGE";"Vincent BAL";"144608";"Tous publics";"BELGIQUE";"13/07/2016"
"L'AGE DE GLACE : LES LOIS DE L'UNIVERS";"Galen T CHU, Mike THURMEIER";"144686";"Tous publics";"ETATS-UNIS";"13/07/2016"
"L'AIGLE ET L'ENFANT";"Gerardo OLIVARES, Otmar PENKER";"144728";"Tous publics";"AUTRICHE";"06/07/2016"
"LE BGG";"Steven SPIELBERG";"144824";"Tous publics";"ETATS-UNIS";"20/07/2016"
"LEA";"Marco Tullio GIORDANA";"144846";"Tous publics";"ITALIE";"13/07/2016"
"LES LIBERTERRES";"Paul Jean VRANKEN , Jean Christophe LAMY";"144533";"Tous publics";"BELGIQUE";"06/07/2016"
"L'OLIVIER";"Iciar BOLLAIN";"144714";"Tous publics";"ESPAGNE";"13/07/2016"
"MALGRE LA NUIT";"Philippe GRANDRIEUX";"123046";"Interdiction aux mineurs -16 ans";"CANADA, FRANCE";"06/07/2016"
"MAN ON HIGH HEELS";"Jang JIN";"144835";"Interdiction aux mineurs -12ans avec avertissement";"CORÉE DU SUD";"20/07/2016"
"MOI, OLGA";"Tomas WEINREB, Petr KAZDA";"144676";"Interdiction aux mineurs -12 ans";"RÉPUBLIQUE TCHÈQUE";"06/07/2016"
"NOS PIRES VOISINS 2";"Nicholas STOLLER";"144738";"Tous publics";"ETATS-UNIS";"06/07/2016"
"PARENTHESE";"Bernard TANGUY";"122026";"Tous publics";"FRANCE";"20/07/2016"
"RIO 2096, UNE HISTOIRE D'AMOUR ET DE FURIE";"Luiz BOLOGNESI";"144733";"Tous publics avec avertissement";"BRÉSIL";"27/07/2016"
"SPARROWS";"Runar RUNARSSON";"144718";"Tous publics avec avertissement";"DANEMARK";"13/07/2016"
"SUR QUEL PIED DANSER";"Paul CALORI, Kostia TESTUT";"120359";"Tous publics";"FRANCE";"06/07/2016"
"TARZAN";"David YATES";"144749";"Tous publics";"GRANDE-BRETAGNE";"06/07/2016"
"THE STRANGERS";"Hong-Jin NA";"144816";"Interdiction aux mineurs -12ans avec avertissement";"CORÉE DU SUD";"06/07/2016"
"THE WAVE";"Roar UTHAUG";"144830";"Tous publics avec avertissement";"NORVÈGE";"27/07/2016"
"TRUMAN";"Cesc GAY";"144617";"Tous publics";"ESPAGNE";"06/07/2016"
"UNE NOUVELLE ANNEE";"Oxana BYCHKOVA";"144468";"Tous publics";"RUSSIE";"20/07/2016"
"VIVA";"Paddy BREATHNACH";"144574";"Tous publics";"IRLANDE";"06/07/2016"
"AGENTS PRESQUE SECRETS";"Rawson Marshall THURBER";"145000";"Tous publics";"ETATS-UNIS";"24/08/2016"
"BAD MOMS";"Jon LUCAS, Scott MOORE";"144747";"Tous publics";"ETATS-UNIS";"03/08/2016"
"BLANKA";"Kohki HASEI";"144152";"Tous publics";"ITALIE";"31/08/2016"
"BLOOD FATHER";"Jean-Francois RICHET";"140555";"Interdiction aux mineurs -12 ans";"FRANCE";"31/08/2016"
"C'EST QUOI CETTE FAMILLE ?!";"Gabriel JULIEN LAFERRIERE";"122174";"Tous publics";"FRANCE";"10/08/2016"
"CUTE GIRL";"Hou HSIAO HSIEN";"144969";"Tous publics";"TAIWAN";"03/08/2016"
"DANS LE NOIR";"David F SANDBERG";"144894";"Interdiction aux mineurs -12 ans";"ETATS-UNIS";"24/08/2016"
"DERNIER TRAIN POUR BUSAN";"Sang-Ho YEON";"144903";"Interdiction aux mineurs -12 ans";"CORÉE DU SUD";"17/08/2016"
"DIVINES";"Uda BENYAMINA";"135497";"Interdiction aux mineurs -12 ans";"FRANCE";"31/08/2016"
"EL ACOMPANANTE";"Pavel GIROUD";"143106";"Tous publics";"CUBA, FRANCE";"17/08/2016"
"ELEKTRO MATHEMATRIX";"Blanca LI";"144111";"Tous publics";"FRANCE";"24/08/2016"
"EXOTICA, EROTICA, ETC";"Evangelia KRANIOTI";"144280";"Tous publics";"FRANCE";"24/08/2016"
"FIRST DATE (SOUTHSIDE WITH YOU)";"Richard TANNE";"145055";"Tous publics";"ETATS-UNIS";"31/08/2016"
"FREE DANCE";"Michael DAMIAN";"144748";"Tous publics";"ETATS-UNIS";"03/08/2016"
"FRONTERAS";"Mikel RUEDA";"144092";"Tous publics";"ESPAGNE";"31/08/2016"
"GREEN GREEN GRASS OF HOME";"Hou HSIAO HSIEN";"144968";"Tous publics";"TAIWAN";"03/08/2016"
"HORS CONTROLE";"Jake SZYMANSKI";"144640";"Tous publics";"ETATS-UNIS";"17/08/2016"
"HOTEL SINGAPURA";"Eric KHOO";"144899";"Interdiction aux mineurs -12ans avec avertissement";"SINGAPOUR";"24/08/2016"
"INSTINCT DE SURVIE - THE SHALLOWS";"Jaume COLLET-SERRA";"144540";"Tous publics avec avertissement";"ETATS-UNIS";"17/08/2016"
"IQBAL : HISTOIRE D'UN ENFANT QUI N'AVAIT PAS PEUR";"Michel FUZELLIER";"137470";"Tous publics";"FRANCE, ITALIE";"24/08/2016"
"JASON BOURNE";"Paul GREENGRASS";"144952";"Tous publics";"ETATS-UNIS";"10/08/2016"
"LA CHANSON DE L ELEPHANT";"Charles BINAME";"144772";"Tous publics avec avertissement";"CANADA";"03/08/2016"
"LA MECANIQUE DES FLUX";"Nathalie LOUBEYRE";"136868";"Tous publics";"FRANCE";"31/08/2016"
"LE CORRESPONDANT";"Jim BEN SOUSSAN";"137616";"Tous publics";"BELGIQUE, FRANCE";"24/08/2016"
"LE FILS DE JEAN";"Philippe LIORET";"142206";"Tous publics";"CANADA, FRANCE";"31/08/2016"
"L'ECONOMIE DU COUPLE";"Joachim LAFOSSE";"141123";"Tous publics";"BELGIQUE, FRANCE";"10/08/2016"
"LES GARCONS DE FENGKUEI";"Hou HSIAO HSIEN";"144967";"Tous publics";"TAIWAN";"03/08/2016"
"MA REVOLUTION";"Ramzi BEN SLIMAN";"137970";"Tous publics";"FRANCE";"03/08/2016"
"MA VIE DE CHAT";"Barry SONNENFELD";"142775";"Tous publics";"FRANCE";"03/08/2016"
"MECHANIC : RESURRECTION";"Dennis GANSEL";"144745";"Tous publics avec avertissement";"ETATS-UNIS";"31/08/2016"
"MIMOSAS";"Oliver LAXE";"145004";"Tous publics";"ESPAGNE, FRANCE, MAROC";"24/08/2016"
"MOKA";"Frederic MERMOUD";"136469";"Tous publics";"FRANCE, SUISSE";"17/08/2016"
"NERVE";"Henry JOOST, Ariel SCHULMAN";"144746";"Tous publics";"ETATS-UNIS";"24/08/2016"
"NOCTURAMA";"Bertrand BONELLO";"143017";"Tous publics avec avertissement";"ALLEMAGNE, FRANCE";"31/08/2016"
"OLMO ET LA MOUETTE";"Petra COSTA, Lea GROB";"144395";"Tous publics";"DANEMARK";"31/08/2016"
"PARASOL";"Valéry ROSIER";"144930";"Tous publics";"BELGIQUE";"10/08/2016"
"PAUVRES MILLIONNAIRES";"Dino RISI";"144956";"Tous publics";"ITALIE";"03/08/2016"
"PETER ET ELLIOTT LE DRAGON";"David LOWERY";"144860";"Tous publics";"ETATS-UNIS";"17/08/2016"
"PRINCESS";"Arto HALONEN";"144859";"Tous publics avec avertissement";"FINLANDE";"24/08/2016"
"RESTER VERTICAL";"Alain GUIRAUDIE";"142680";"Interdiction aux mineurs -12 ans";"FRANCE";"24/08/2016"
"S.O.S. FANTOMES";"Paul FEIG";"144801";"Tous publics";"ETATS-UNIS";"10/08/2016"
"SIERANEVADA";"Cristi PUIU";"142256";"Tous publics";"FRANCE, ROUMANIE";"03/08/2016"
"STAR TREK SANS LIMITES";"Justin LIN";"144775";"Tous publics";"ETATS-UNIS";"17/08/2016"
"STEFAN ZWEIG, ADIEU L'EUROPE";"Maria SCHRADER";"142651";"Tous publics";"ALLEMAGNE, AUTRICHE, FRANCE";"10/08/2016"
"SUICIDE SQUAD";"David AYER";"144882";"Tous publics avec avertissement";"ETATS-UNIS";"03/08/2016"
"TONI ERDMANN";"Maren ADE";"144905";"Tous publics";"ALLEMAGNE, AUTRICHE";"17/08/2016"
