titreCommercial;realisateur;visa;mention;paysOrigine;dateSortie
"CHALA, UNE ENFANCE CUBAINE";"Ernesto DARANAS SERRANO";"144023";"Tous publics";"CUBA";"23/03/2016"
"COMME DES LIONS";"Françoise DAVISSE";"141784";"Tous publics";"BELGIQUE, FRANCE";"23/03/2016"
"CRIMINEL";"Viktor DEMENT";"144001";"Tous publics";"RUSSIE";"16/03/2016"
"DES NOUVELLES DE LA PLANETE MARS";"Dominik MOLL";"141028";"Tous publics";"FRANCE";"09/03/2016"
"DEUX REMI, DEUX";"Pierre LEON";"143473";"Tous publics";"FRANCE";"02/03/2016"
"DIEUMERCI !";"Lucien JEAN-BAPTISTE";"120598";"Tous publics";"FRANCE";"09/03/2016"
"DIVERGENTE 3 : AU-DELA DU MUR";"Robert SCHWENTKE";"144046";"Tous publics";"ETATS-UNIS";"09/03/2016"
"EAST PUNK MEMORIES";"Lucile CHAUFOUR";"135285";"Tous publics";"FRANCE";"30/03/2016"
"EPERDUMENT";"Pierre GODEAU";"141900";"Tous publics";"FRANCE";"02/03/2016"
"EVOLUTION";"Lucile HADZIHALILOVIC";"139872";"Interdiction aux mineurs -12 ans";"ESPAGNE, FRANCE";"16/03/2016"
"FILLE OU GARCON, MON SEXE N'EST PAS MON GENRE";"Valerie MITTEAUX";"126052";"Tous publics";"FRANCE";"02/03/2016"
"FIVE";"Igor GOTESMAN";"135814";"Tous publics avec avertissement";"FRANCE";"30/03/2016"
"GOOD LUCK ALGERIA";"Farid BENTOUMI";"128206";"Tous publics";"BELGIQUE, FRANCE";"30/03/2016"
"IN JACKSON HEIGHTS";"Frederick WISEMAN";"144200";"Tous publics";"ETATS-UNIS";"23/03/2016"
"JODOROWSKY S DUNE";"Frank PAVICH ";"143412";"Tous publics";"";"16/03/2016"
"KEEPER";"Guillaume SENEZ";"140692";"Tous publics";"BELGIQUE, FRANCE, SUISSE";"23/03/2016"
"KUNG FU PANDA 3";"Jennifer YUH, Alessandro CARLONI";"144033";"Tous publics";"ETATS-UNIS";"30/03/2016"
"LA CHUTE DE LONDRES";"Babak NAJAFI";"143011";"Interdiction aux mineurs -12ans avec avertissement";"GRANDE-BRETAGNE";"02/03/2016"
"LA DREAM TEAM";"Thomas SORRIAUX ";"128962";"Tous publics";"FRANCE";"23/03/2016"
"LA GUEULE DU LOUP";"Jérôme SEGUR";"142293";"Tous publics";"FRANCE";"09/03/2016"
"LA PASSION D AUGUSTINE";"Lea POOL";"144119";"Tous publics";"CANADA";"30/03/2016"
"LA VALLEE";"Ghassan SALHAB";"140110";"Tous publics";"FRANCE, LIBAN";"23/03/2016"
"LE CHANT DU MERLE";"Frédéric PELLE, Matthieu COCHIN";"139693";"Tous publics";"FRANCE";"16/03/2016"
"LE COEUR REGULIER";"Vanja D'ALCANTARA";"131723";"Tous publics";"BELGIQUE, CANADA, FRANCE";"30/03/2016"
"LE CRIME DU SOMMELIER";"Ferdinando VICENTINI ORGNANI";"144099";"Tous publics";"ITALIE";"02/03/2016"
"LE DIVAN DU MONDE";"Swen DE PAW";"143858";"Tous publics";"FRANCE";"16/03/2016"
"LE FESTIN DE PIERRE";"Eric BU";"144074";"Tous publics";"FRANCE";"30/03/2016"
"LE LIEN";"Frédéric PLÉNARD";"144157";"Tous publics";"FRANCE";"16/03/2016"
"LE SANCTUAIRE";"Corin HARDY";"144222";"Interdiction aux mineurs -12ans avec avertissement";"GRANDE-BRETAGNE";"30/03/2016"
"LE VOYAGE CINEMATOGRAPHIQUE DE GASTON MELIES DANS LES MERS DU SUD ET EN EXTREME-ORIENT";"Raphaël MILLET";"136507";"Tous publics";"FRANCE";"23/03/2016"
"LEAVE TO REMAIN";"Bruce GOODISON";"144035";"Tous publics";"GRANDE-BRETAGNE";"09/03/2016"
"LES OGRES";"Lea FEHNER";"135738";"Tous publics";"FRANCE";"16/03/2016"
"LETTRES AU PERE JACOB";"Klaus HARO";"144100";"Tous publics";"FINLANDE";"09/03/2016"
"LITTLE GO GIRLS";"Eliane DE LATOUR";"141053";"Tous publics";"FRANCE";"09/03/2016"
"L'ORCHESTRE DE MINUIT";"Jérôme COHEN OLIVAR";"144097";"Tous publics";"MAROC";"02/03/2016"
"LOUIS-FERDINAND CELINE, DEUX CLOWNS POUR UNE CATASTROPHE";"Emmanuel BOURDIEU";"133876";"Tous publics";"BELGIQUE, FRANCE";"09/03/2016"
"MARIAGE A LA GRECQUE 2";"Kirk JONES";"144170";"Tous publics";"ETATS-UNIS";"30/03/2016"
"MARSEILLE";"Kad MERAD";"141785";"Tous publics";"FRANCE";"16/03/2016"
"MARSEILLE ENTRE DEUX TOURS";"Jean-Louis COMOLLI, Michel SAMSON, Jean-Louis PORTE";"143966";"Tous publics";"FRANCE";"30/03/2016"
"MEDECIN DE CAMPAGNE";"Thomas LILTI";"138716";"Tous publics";"FRANCE";"23/03/2016"
"MIDNIGHT SPECIAL";"Jeff NICHOLS";"144025";"Tous publics";"ETATS-UNIS";"16/03/2016"
"MIRAGE D'AMOUR AVEC FANFARE";"Hubert TOINT";"120482";"Tous publics";"BELGIQUE, FRANCE, SUISSE";"23/03/2016"
"MISE A L'EPREUVE 2";"Tim STORY";"144160";"Tous publics";"ETATS-UNIS";"30/03/2016"
"MOONWALKERS";"Antoine BARDOU JACQUET";"126465";"Tous publics avec avertissement";"BELGIQUE, FRANCE";"02/03/2016"
"NO LAND S SONG";"Ayat NAJAFI";"135119";"Tous publics";"ALLEMAGNE, FRANCE";"16/03/2016"
"PERE FRIMAS (MOROZKO)";"Alexandre ROW";"143784";"Tous publics";"RUSSIE";"14/03/2016"
"PSEUDONYM";"Thierry SEBBAN";"130359";"Interdiction aux mineurs -16 ans";"FRANCE";"09/03/2016"
"PURSUIT OF LONELINESS";"Laurence THRUSH";"144007";"Tous publics";"ETATS-UNIS";"09/03/2016"
"QUAND ON A 17 ANS";"André TECHINE";"142602";"Tous publics";"FRANCE";"30/03/2016"
"REMEMBER";"Atom EGOYAN";"143695";"Tous publics";"ALLEMAGNE";"23/03/2016"
"ROOM";"Lenny ABRAHAMSON";"143814";"Tous publics avec avertissement";"GRANDE-BRETAGNE";"09/03/2016"
"ROSALIE BLUM";"Julien RAPPENEAU";"141646";"Tous publics";"FRANCE";"23/03/2016"
"ROYAL ORCHESTRA";"Heddy HONIGMANN";"144043";"Tous publics";"PAYS-BAS";"23/03/2016"
"SAINT AMOUR";"Gustave KERVERN, Benoît DELÉPINE";"135930";"Tous publics";"BELGIQUE, FRANCE";"02/03/2016"
"SEUL CONTRE TOUS - CONCUSSION";"Peter LANDESMAN";"143621";"Tous publics";"ETATS-UNIS";"09/03/2016"
"SHADOW DAYS";"Zhao DAYONG";"144144";"Tous publics avec avertissement";"CHINE";"30/03/2016"
"SOLANGE ET LES VIVANTS";"Ina MIHALACHE";"143969";"Tous publics";"FRANCE";"09/03/2016"
"SOLEIL DE PLOMB";"Dalibor MATANIC";"144036";"Tous publics";"CROATIE";"30/03/2016"
"SUITE ARMORICAINE";"Pascale BRETON";"137740";"Tous publics";"FRANCE";"09/03/2016"
"SUNRISE";"Partho SEN-GUPTA";"138760";"Tous publics avec avertissement";"FRANCE, INDE";"02/03/2016"
"SUNSET SONG";"Terence DAVIES";"144056";"Tous publics";"GRANDE-BRETAGNE";"30/03/2016"
"TAKLUB";"Brillante MENDOZA";"144221";"Tous publics";"PHILIPPINES";"30/03/2016"
"THE ASSASSIN";"Hou HSIAO HSIEN";"143933";"Tous publics";"TAIWAN";"09/03/2016"
"A BIGGER SPLASH";"Luca GUADAGNINO";"144227";"Tous publics avec avertissement";"ITALIE";"06/04/2016"
"ADOPTE UN VEUF";"Francois DESAGNAT";"139107";"Tous publics";"FRANCE";"20/04/2016"
"ANNA";"Jacques TOULEMONDE";"125938";"Tous publics";"COLOMBIE, FRANCE";"15/04/2016"
"BLIND SUN";"Joyce A NASHAWATI";"140223";"Tous publics";"FRANCE, GRÈCE";"20/04/2016"
"CAPTAIN AMERICA : CIVIL WAR";"Anthony RUSSO, Joe RUSSO";"144228";"Tous publics";"ETATS-UNIS";"27/04/2016"
"DALTON TRUMBO";"Jay ROACH";"144256";"Tous publics";"ETATS-UNIS";"27/04/2016"
